title,url,discounted_price,original_price,User-Agent
"MLAIS M52 Red Note 5.5"" IPS OGS MTK6752 64-bit 4G LTE Phone P05-MSM52",https://web.archive.org/web/20150508183443/http://www.tinydeal.com/mlais-m52-red-note-55-ips-ogs-mtk6752-64-bit-4g-lte-phone-p-146469.html,$149.99,$169.99 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
12 Hole Ocarina Ceramic Alto C Legend of Zelda  Ocarina Flute TMI-345922,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/12-hole-ocarina-ceramic-alto-legend-of-zelda-ocarina-flute-p-138101.html,$11.91,$22.51 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
Waterproof Bluetooth V3.0 Shower Hands-free Mic Suction Speaker HHITH-358825,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/waterproof-bluetooth-v30-shower-hands-free-mic-suction-speaker-p-141169.html,$8.99,$17.67 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
"ONDA V820w 8"" Dual OS Z3735F 2GB 32GB Tablet PC w/ Bluetooth ETC-370746",https://web.archive.org/web/20150508183443/http://www.tinydeal.com/onda-v820w-8-dual-os-z3735f-2gb-32gb-tablet-pc-w-bluetooth-p-143966.html,$99.99,$152.00 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
"TECLAST X98 Air 3G 9.7"" Dual OS 2GB 64GB 3G Tablet + Case + Film KB-376841",https://web.archive.org/web/20150508183443/http://www.tinydeal.com/teclast-x98-air-3g-97-dual-os-2gb-64gb-3g-tablet-case-film-p-145505.html,$239.99,$330.21 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
MANNER Rubber Air Inflation Boats Accessories Bag Carriers For 4 STH-373880,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/manner-rubber-air-inflation-boats-accessories-bag-carriers-for-4-p-144543.html,$12.79,$24.32 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
"TIMMY E86 5.5"" IPS HD Android 4.4 MTK6582 Quad Core 3G Phone P05-TME86",https://web.archive.org/web/20150508183443/http://www.tinydeal.com/timmy-e86-55-ips-hd-android-44-mtk6582-quad-core-3g-phone-p-145326.html,$80.42,$87.20 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
0.4mm Tempered Glass Screen Protector for iPhone 5s 5c 5 EPASP-324041,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/04mm-tempered-glass-screen-protector-for-iphone-5s-5c-5-p-132751.html,$1.79,$4.67 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
"DOOGEE VOYAGER2 DG310 5"" IPS MTK6582 4-Core Anroid4.4 3G Phone P07-DG310",https://web.archive.org/web/20150510020627/http://www.tinydeal.com/it/doogee-voyager2-dg310-5-ips-mtk6582-4-core-anroid44-3g-phone-p-132817.html,$75.23,$97.70 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
MANNER Rubber Air Inflation Boats Accessories Bag Carriers For 4 STH-373880,https://web.archive.org/web/20150510020627/http://www.tinydeal.com/it/manner-rubber-air-inflation-boats-accessories-bag-carriers-for-4-p-144543.html,$12.79,$24.32 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
